Filename = 237.out.txt, no_of_character_errs = 18, ground_truth_length = 41, output_length = 36, Percentage Character Errors = 43.9024390244%
Filename = 238.out.txt, no_of_character_errs = 26, ground_truth_length = 51, output_length = 41, Percentage Character Errors = 50.9803921569%
Filename = 239.out.txt, no_of_character_errs = 39, ground_truth_length = 95, output_length = 76, Percentage Character Errors = 41.0526315789%
Filename = 24.out.txt, no_of_character_errs = 22, ground_truth_length = 40, output_length = 41, Percentage Character Errors = 55.0%
Filename = 240.out.txt, no_of_character_errs = 21, ground_truth_length = 40, output_length = 30, Percentage Character Errors = 52.5%
Filename = 241.out.txt, no_of_character_errs = 20, ground_truth_length = 40, output_length = 41, Percentage Character Errors = 50.0%
Filename = 242.out.txt, no_of_character_errs = 11, ground_truth_length = 40, output_length = 38, Percentage Character Errors = 27.5%
Filename = 243.out.txt, no_of_character_errs = 22, ground_truth_length = 51, output_length = 47, Percentage Character Errors = 43.137254902%
Filename = 244.out.txt, no_of_character_errs = 17, ground_truth_length = 36, output_length = 31, Percentage Character Errors = 47.2222222222%
Filename = 245.out.txt, no_of_character_errs = 25, ground_truth_length = 58, output_length = 50, Percentage Character Errors = 43.1034482759%
Filename = 246.out.txt, no_of_character_errs = 5, ground_truth_length = 74, output_length = 73, Percentage Character Errors = 6.75675675676%
Filename = 247.out.txt, no_of_character_errs = 10, ground_truth_length = 18, output_length = 18, Percentage Character Errors = 55.5555555556%
Filename = 248.out.txt, no_of_character_errs = 9, ground_truth_length = 8, output_length = 10, Percentage Character Errors = 112.5%
Filename = 249.out.txt, no_of_character_errs = 11, ground_truth_length = 40, output_length = 42, Percentage Character Errors = 27.5%
Filename = 25.out.txt, no_of_character_errs = 9, ground_truth_length = 16, output_length = 12, Percentage Character Errors = 56.25%
Filename = 250.out.txt, no_of_character_errs = 38, ground_truth_length = 105, output_length = 92, Percentage Character Errors = 36.1904761905%
Filename = 251.out.txt, no_of_character_errs = 6, ground_truth_length = 40, output_length = 42, Percentage Character Errors = 15.0%
Filename = 252.out.txt, no_of_character_errs = 33, ground_truth_length = 89, output_length = 75, Percentage Character Errors = 37.0786516854%
Filename = 253.out.txt, no_of_character_errs = 3, ground_truth_length = 13, output_length = 15, Percentage Character Errors = 23.0769230769%
Filename = 254.out.txt, no_of_character_errs = 16, ground_truth_length = 36, output_length = 34, Percentage Character Errors = 44.4444444444%
Filename = 255.out.txt, no_of_character_errs = 11, ground_truth_length = 23, output_length = 19, Percentage Character Errors = 47.8260869565%
Filename = 256.out.txt, no_of_character_errs = 8, ground_truth_length = 38, output_length = 37, Percentage Character Errors = 21.0526315789%
Filename = 257.out.txt, no_of_character_errs = 18, ground_truth_length = 41, output_length = 36, Percentage Character Errors = 43.9024390244%
Filename = 258.out.txt, no_of_character_errs = 21, ground_truth_length = 39, output_length = 37, Percentage Character Errors = 53.8461538462%
Filename = 259.out.txt, no_of_character_errs = 30, ground_truth_length = 55, output_length = 52, Percentage Character Errors = 54.5454545455%
